NAME,M38U,PNG,DESCR,FEAT,SIMPLE
Вирабхадрасана 2,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%202/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%202.png,"Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Разворачиваем корпус перпендикулярно линии ног. Скибая левое колено так, чтобы оно оказалось над пяткой левой ноги, поднимаем руки вверх, соединяя ладони и, немного прогибаясь назад в грудном отделе позвоночника, запрокибываем назад голову. Передняя поверхность шеи немного растянута. Живот расслаблен, дыхание свободное. Время выдержки асаны по ощущениям. После выходим из асаны в обратной последовательности и стоим, расслабляемся. Во время расслабления все остаточные ощущения от предыдущей асаны должны уйти. Далее выполняем асану вправо. 

","Эту асану можно также выполнять у стены, немного соприкасаясь рукой со стеной, что даст возможность не держать равновесие, а всё внимание уделить на минимизацию усилий.  Время выдержки асаны по ощущениям. Далее расслабиться необходимое для снятия остаточного напряжения время.]","Уменьшать степень выпада впереди стоящей ноги, тем самым снижая нагрузку на ноги. Уменьшать степень прогиба позвоночника и запрокидывания головы. "
Вирабхадрасана 3,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%203/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%203.png,"Исходное положение стоя, ноги на ширине плеч. Разверните левую стопу влево на 90 градусов. Поверните корпус влево также на 90 градусов. Сложите руки над головой, выпрямив их вверх, ладони соединены. Перенося вес тела на левую ногу, поднимите правую ногу над полом и, наклоняя корпус вперёд, вытяните сложенные в ладонях руки перед собой. Лицо обращено вперёд (не в пол). В конечном положении руки, корпус и поднятая правая нога составляют прямую линию. Со временем будет получаться делать наклон практически параллельно полу. Удерживать баланс, расслабляя лицо, живот и дыхание. Время выдержки по ощущениям. Затем выйти из асаны и расслабиться стоя. Повторить ту же последовательность вправо.","Эта асана из разряда «стоячих на равновесие». Специфика освоения заключается в том, что на начальном этапе глаза лучше держать открытыми и зафиксированными на любой точке. В таком случае легче будет поймать и удерживать равновесие. По мере освоения можно будет пробовать закрывать глаза и выполнять асану в таком виде.","Первое время можно выполнять эту асану, прислонившись одним боком к стене.

"
Вирасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%92%D0%B8%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%92%D0%B8%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Опускаемся на пол, садясь ягодицами на поверхность пола так, что ноги, согнутые в коленях оказываются по обе стороны от таза, ступни развёрнуты вверх, спина прямая. Руки свободно опускаем на бёдра. Глаза закрыты. Голова удерживается вертикально. Мышцы расслаблены.  Время выдержки по ощущениям, но более 3 – 4 минут держать не целесообразно. 

","По мере расслабления мышц ног ощущения в них должны уменьшаться, «таять» - это правильный ход событий.  Если ощущения по мере выдержки усиливаются, то надо упростить асану. Если у вас варикоз, то асану держать в пределах минуты - полторы, не более! 

","Сесть на пол, подложив под ягодицы свёрнутое одеяло, плед или «кирпичик» - пропс, тем самым уйдя от явных ощущений в ногах. Если сильные ощущения также появляются в подъёмах стоп, то надо свернуть одеяло и подложить его под эти участки тела. Это значительно снизит интенсивность нагрузки, переведя ощущения в разряд умеренных.
"
Джану Ширшасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%94%D0%B6%D0%B0%D0%BD%D1%83%20%D0%A8%D0%B8%D1%80%D1%88%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%94%D0%B6%D0%B0%D0%BD%D1%83%20%D0%A8%D0%B8%D1%80%D1%88%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть, выпрямив ноги перед собой. Правую ногу согнуть в колене и подтянуть пятку к промежности. Бедро правой ноги покоится на полу. Угол между бёдрами примерно 90 градусов. Развернуть корпус перпендикулярно выпрямленной вперёд левой ноги и начать наклон корпуса к ноге. Во время наклона допускается подсгибать в колене левую ногу. Спина может немного скругляться. При правильном выполнении живот ложится на бедро левой ноги, а голова уходит к лодыжке. Над коленом левой ноги оказывается плечо и грудная клетка. Руками захватываем пальцы ноги, либо обхватываем стопу пальцами рук, сложенными в пальцевой замок, либо захватываем лодыжку. По мере выдержки асаны расслабляем, прежде всего, подколенную область и заднюю поверхность бедра выпрямленной ноги (в данном случае левой), при этом корпус может ощутимо проседать вниз, и глубина асаны тем самым будет спонтанно увеличиваться. В конечной фазе асаны, когда глубина полностью выбрана и прекратилось спонтанное движение тела по форме, максимально расслабиться, отпустить глаза в глубине и созерцать естественное дыхание. Время выдержки по ощущениям, но не более 3 – 3.5 минут. Затем выходим и асаны, выпрямляя корпус и правую ногу, и выполняем асану, меняя взаимное положение ног.","Основным моментом в выполнении наклона корпуса вперед является складывание пополам в тазобедренном суставе так, чтобы происходило давление бедра на брюшную область, при этом колено выпрямленной ноги может немного сгибаться. Вовсе не обязательно держать ногу идеально выпрямленной. С другой стороны, при наклоне, по возможности, сохранять позвоночник в выпрямленном или слегка подсогнутом (но не сильно) положении, чтобы осуществлялось вытягивание спины и снятье компрессионного воздействия на позвоночник.","Возможно подсгибать выпрямленную ногу и использовать ремешок для захвата стопы (если пальцы рук не достают)

 "
Джатхара Паривартанасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%94%D0%B6%D0%B0%D1%82%D1%85%D0%B0%D1%80%D0%B0%20%D0%9F%D0%B0%D1%80%D0%B8%D0%B2%D0%B0%D1%80%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%94%D0%B6%D0%B0%D0%BD%D1%83%20%D0%A8%D0%B8%D1%80%D1%88%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на спину. Развести руки в стороны, развернув их ладонями вверх. Сгибаем ноги в коленях и подтягиваем бёдра к животу. Затем медленно опускаем обе ноги, согнутые в коленях на пол в левую сторону. Голова разворачивается вправо. Глаза закрыты. Последовательно расслабляем все мышцы. Дыхание расслаблено. Время выдержки по ощущениям, но более трёх минут держать эту асану не целесообразно. Далее выйти из асаны в обратной последовательности и перейти в Шавасану, расслабиться пару минут и приступить к выполнению асаны в правую сторону. 

","По мере расслабления в асане, тело может «растекаясь» спонтанно углубляться по форме, увеличивая угол скручивания.

При возникновении сильных ощущений во время скручивания корпуса, опускании ног на пол, можно подложить под ноги подушку, тем самым уменьшив угол скручивания и добиваясь кмеренных ощущений и комфорта в асане.

",
Дханурасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%94%D1%85%D0%B0%D0%BD%D1%83%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%94%D1%85%D0%B0%D0%BD%D1%83%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на живот, выпрямив ноги, руки выпрямить вдоль туловища. Подбородок поставить на пол. Согнуть ноги в коленях и захватить лодыжки руками. На некоторое время остаться в этом положении, дав возможность телу адаптироваться к этой позе, максимально всё расслабить. Далее, удерживая захват ног руками, выпрямляем ноги назад-вверх и прогибаемся в спине назад. Прогиб осуществляется в основном за счёт разгибания ног («натягиваем тетиву» - отсюда и название - «поза лука»), но также в небольшой степени включаются и мышцы спины. В конечном положении запрокидываем голову назад, растягивая переднюю поверхность шеи. Удерживаем асану комфортное время. В конечном положении расслабляем живот, лицо и дыхание. Минимизируем усилия. После выдержки ложимся на живот и переходим в исходное положение.]","Эта асна является некой квинтэссенцией Бхуджангасаны (позы кобры) и Шалабхасаны (позы саранчи), и ей присущи эффекты, характерные для этих обеих асан. В конечном положении не перегибаться сильно в пояснице, стараясь прогнуться как можно глубже, это весьма травмоопасно. Выполнять эту асану следует в пол силы, не доводя до крайней степени прогиб.

Упрощение асаны: Если трудно захватить лодыжки ног, то можно выполнять эту асану, захватив руками подъёмы стоп. Также упрощение","Если трудно захватить лодыжки ног, то можно выполнять эту асану, захватив руками подъёмы стоп. Также упрощение достигается за счёт меньшего угла прогиба назад.

 "
Йога Мудра Асана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%98%CC%86%D0%BE%D0%B3%D0%B0%20%D0%9C%D1%83%D0%B4%D1%80%D0%B0%20%D0%90%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%98%CC%86%D0%BE%D0%B3%D0%B0%20%D0%9C%D1%83%D0%B4%D1%80%D0%B0%20%D0%90%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол в Ардха Паммасану. Из этого положения начать наклон вперёд к полу. Спина при наклоне может несколько скругляться. Руки на начальном этапе расслабления могут упираться в пол перед собой, тем самым можно осуществлять дозировку воздействия асаны на тело, - глубину наклона. Находиться в асане по ощущениям. По мере расслабления корпус может несколько «проседать», увеличивая наклон. После выдержки асаны выпрямить спину, выпрямить ноги перед собой и, поменяв взаимное положение ног, сделать ещё раз эту асану.","По мере освоения асаны и лёгкости выполнения, руки можно складывать за спиной в кистевой замок и выполнять наклон в таком положении. Быть предельно внимательным в отношении силы воздействия (ощущений) в области коленей во время выполнения!","Если положение Ардха Падмасаны вызывает затруднения, то исходное положение можно принимать, садясь в Сукхасану («по-турецки» со скрещенными ногами)"
Макарасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на живот. Локти поставить на пол перед собой, а подбородок на ладони рук. Предплечья стоят вертикально. Локти выдвинуть вперёд настолько, чтобы это не вызывало дискомфорта в шейном и грудном отделе позвоночника. Глаза закрыты. Дыхание естественное. Расслабить всё тело. Время выдержки по ощущениям, но не более 2-х минут. Далее лечь на живот и расслабиться, вытянув одну руку вперёд и развернув лицо в сторону вытянутой руки. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане. 

","В более «продвинутой» версии этой асаны подбородок можно ставить не на ладони рук, а на кулаки.

","Если в позвоночнике появляется дискомфорт, то степень прогиба назад позвоночника необходимо уменьшить, разведя на необходимое расстояние локти между собой.

"
Маричиасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9C%D0%B0%D1%80%D0%B8%D1%87%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9C%D0%B0%D1%80%D0%B8%D1%87%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол, ноги выпрямить перед собой. Согнуть левую ногу в колене, подтянув пятку к ягодице, колено при этом смотрит вверх. Далее, совершая скручивание корпуса влево, захватываем локтевым сгибом правой руки левое колено. Левую руку ставим в упор в пол сзади. Доворачиваем голову влево. Глаза закрыты. Дыхание свободное. Время выдержки по ощущениям, но в пределах 2 – 3 минут. Далее выходим из асаны и выполняем её в противоположную сторону. 

","Во время входа в асану и скручивания корпуса, поворота головы, не давим на форму, а просто выбираем свободный ход и остаёмся в конечном положении асаны. По мере расслабления тела, угол поворота может немного увеличиваться.

","Если не получается захватить колено локтевым сгибом, то можно сделать захват колена пальцами руки.

"
Матсиасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9C%D0%B0%D1%82%D1%81%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9C%D0%B0%D1%82%D1%81%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на спину. Лежа на спине скрестить ноги доступным способом (Падмасана, Ардха Падмасана, Сукхасана). Руками обхватить заднюю поверхность бёдер. Упереться локтями в пол и, отталкиваясь ими от пола, прогнуться назад, выводя грудную клетку вверх и запрокидывая голову назад. Ноги, ягодицы и голова находятся на полу. Распределить нагрузку между руками и шеей. Расслабить живот, лицо и дыхание. Минимизировать усилия. Оставаться в асане комфортное время. Затем выйти из асаны и расслабиться.","Поскольку в этой асане достаточно сильно задействован шейный отдел, то при выполнении надо быть особенно внимательным к этой области.","Если скрещивание ног доставляет явные неудобства, то эту асану можно выполнять с выпрямленными ногами.

 "
Паривритта Парсваконасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%80%D0%B8%D0%B2%D1%80%D0%B8%D1%82%D1%82%D0%B0%20%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%80%D0%B8%D0%B2%D1%80%D0%B8%D1%82%D1%82%D0%B0%20%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Вход в асану. Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Сгибаем левую ногу в колене примерно на 90 градусов и наклоняем корпус к левой ноге, скручивая его и ставя правую руку в упор на пол с внутренней стороны от ноги. Левую руку выпрямляем в сторону вверх, она является продолжением линии нога – корпус. Голова развёрнута вверх в сторону левого плеча. Дыхание расслаблено. Вес тела распределён удобно между опорной рукой и впереди стоящей ногой. Время выдержки по ощущениям. После выдержки выйти из асаны и расслабиться необходимое для снятия напряжения от предыдущей асаны время.

","Выполнять лучше у стены, стоя спиной к стене в исходном положении. Во время наклона, скручивая корпус, уходить грудной клеткой к стене и опираться на неё левой рукой, ладонью.

","Во время выполнения сгибать сзади стоящую ногу так, чтобы колено опускалось на пол. В качестве опоры под руку использовать пропс-подставку (кирпичик), руку, вытянутую вверх, если это положение вызывает дискомфорт, можно убрать за спину и расслабить плечо. 
"
Паривритта Триконасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%80%D0%B8%D0%B2%D1%80%D0%B8%D1%82%D1%82%D0%B0%20%D0%A2%D1%80%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%80%D0%B8%D0%B2%D1%80%D0%B8%D1%82%D1%82%D0%B0%20%D0%A2%D1%80%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Асана выполняется стоя.
Стоя, развести ноги на ширину примерно две ширины плеч. Пятки стоят на одной линии.
Вход в асану. Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Далее наклоняемся к левой ноге, скручивая при этом корпус и скользя правой рукой по левой ноге. Наклоняемся до начала возникновения ощущения натяжения в левой ноге либо ощущения натяжения в левом боку, пояснице. Левая рука вытягивается вверх. Лицо обращено вверх в сторону левой руки. Шея – продолжение линии позвоночника.
Выдержка асаны по ощущениям согласно технологии. После выполнения выйти из асаны в обратной последовательности и расслабиться стоя, ноги на ширине плеч. Время расслабления между выполнением асаны в левую и в правую сторону должно быть таким, чтобы стёрлись все ощущения от предыдущей асаны и уравновесилось дыхание. Далее выполнить в правую сторону.

","Выполнять лучВо время выполнения подсгибать ногу, к которой идёт наклон, в качестве опоры под руку использовать пропс-подставку (кирпичик), руку, вытянутую вверх, если это положение вызывает дискомфорт, можно убрать за спину и расслабить плечо. 
 ше у стены, стоя спиной к стене в исходном положении. Во время наклона, скручивая корпус, уходить грудной клеткой к стене и опираться на неё левой рукой, ладонью.

","Во время выполнения подсгибать ногу, к которой идёт наклон, в качестве опоры под руку использовать пропс-подставку (кирпичик), руку, вытянутую вверх, если это положение вызывает дискомфорт, можно убрать за спину и расслабить плечо. "
Паригхасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%80%D0%B8%D0%B3%D1%85%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%80%D0%B8%D0%B3%D1%85%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Принять положение сидя на пятках. Встать на колени и выпрямить левую ногу в сторону в одну линию с корпусом. Стопа стоит на полу примерно под 45 градусов. Поднять правую руку вверх и медленно начать наклоняться влево, по возможности сохраняя туловище и левую ногу в одной плоскости. Левая рука при этом движется вдоль левой ноги к левой стопе (если хватает гибкости, то можно захватить стопу), а правая рука из-за головы также тянется к стопе левой ноги. Сгибание в основном происходит в тазобедренном суставе, минимально отклоняя таз назад. Как только появятся ощущения от сгибания корпуса (как в межрёберных мышцах, так и в задней поверхности левой ноги), приостановить наклон и начать расслабляться в асане. По мере расслабления тело может спонтанно «сползать» по форме влево, увеличивая глубину асаны. Время выдержки по ощущениям. После выдержки выйти из асаны и выполнить вправо в той же последовательности.","Пробовать наклоняться в одной плоскости, наклон выполнять в сторону, минимально отводя таз назад.","За счёт уменьшения глубины наклона

 "
Парипурна Навасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%80%D0%B8%D0%BF%D1%83%D1%80%D0%BD%D0%B0%20%D0%9D%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%80%D0%B8%D0%BF%D1%83%D1%80%D0%BD%D0%B0%20%D0%9D%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на спину. Приподнять над полом ноги, согнутые в коленях и корпус, оставаясь в положении равновесия на копчике. Угол между корпусом и бёдрами примерно прямой. Руки вытянуть перед собой. Закрыть глаза. Расслабить мышцы лица. Насколько позволяет конфигурация асаны, расслабить дыхание. Держать асану по ощущениям. Далее лечь на спину и расслабиться. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане.

","Напряжение мышц живота должно находиться в умеренной зоне и быть относительно комфортным. 

","Более легкий вариант этой асаны – Ардха Наванасана (см. каталог)

"
Парсвоттанасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Исходное положение стоя, ноги на ширине плеч. Развести ноги на расстояние две ширины плеч. Левую стопу развернуть влево на 90 градусов, правую довернуть также влево градусов на 45 – 60. Плечи также развернуть влево перпендикулярно линии ног. Сложить руки за спиной, соединив ладони вместе. Далее, сложенные ладони развернуть пальцами вверх и продвинуть их вверх в область между лопаток. Запрокинуть голову назад и немного прогнуться назад в грудном отделе позвоночника. На некоторое время зафиксировать это положение.

Далее, выполните наклон вперед к левой ноге и оставайтесь в этом положении комфортное время. Дыхание расслаблено. Мышцы спины также расслаблены. По завершению вернитесь в исходное положение и выполните асану в той же последовательности вправо.

Особенности выполнения: В наклоне вперед по мере расслабления корпус будет спонтанно проседать в асане, в пределе полностью опускаться на впереди стоящую ногу.","В наклоне вперед по мере расслабления корпус будет спонтанно проседать в асане, в пределе полностью опускаться на впереди стоящую ногу.","Если сложно сложить руки ладонями вместе, развернуть их вверх и продвинуть между лопаток, то можно захватить руки в кистевой или локтевой замок и выполнять асану в таком положении.

При наклоне вперед допустимо несколько подсгибать впереди стоящую ногу. Если воздействие асаны на заднюю поверхность впереди стоящей ноги очень сильное, то можно убрать руки из-за спины, поставить их перед собой по обеим сторонам от ноги и упереться ими в пол. Тем самым можно будет разгрузить ногу, снять лишнее напряжение, перераспределив нагрузку. Под руки можно подставить кирпичики или любую другую опору, если они (руки) не достают до пола."
Пасчимоттанасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%9F%D0%B0%D1%81%D1%87%D0%B8%D0%BC%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%9F%D0%B0%D1%81%D1%87%D0%B8%D0%BC%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть, выпрямив ноги перед собой. Начать наклон корпуса вперёд к выпрямленным ногам. Старайтесь наклоняться, не сильно сгибая и ссутуливая спину так, чтобы по мере наклона живот опускался на бёдра, грудная клетка опускалась к коленям, а голова зависала над голенью. Ноги не обязательно держать жёстковыпрямленными, а можно подсгибать в коленях, тем самым, облегчая наклон и увеличивая угол наклона корпуса к ногам. Руками захватываем пальцы ног, либо обхватываем стопы пальцами рук, сложенными в пальцевой замок, либо захватываем лодыжки. По мере выдержки асаны расслабляем, прежде всего, подколенные области и заднюю поверхность бедер, при этом корпус может ощутимо проседать вниз, и глубина асаны тем самым будет спонтанно увеличиваться. В конечной фазе асаны, когда глубина полностью выбрана и прекратилось спонтанное движение тела по форме, максимально расслабиться, отпустить глаза в глубине и созерцать естественное дыхание. Время выдержки по ощущениям, примерно от 3-х до 5-ти минут.","По возможности складываться, в основном, проворачиваясь в тазобедренных суставах и не сильно сгибая спину.","Допускается подсгибать ноги в коленях во время наклона. Если угол наклона корпуса к ногам более 90 градусов, то следует сначала освоить на хорошем уровне Уттанасану прежде, чем приступать к выполнению Пасчимоттанасаны."
Саитхалиасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A1%D0%B0%D0%B8%D1%82%D1%85%D0%B0%D0%BB%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A1%D0%B0%D0%B8%D1%82%D1%85%D0%B0%D0%BB%D0%B8%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол, выпрямить ноги перед собой, разведя их в стороны. Сгибая левую ногу в колене, подтянуть левую пятку к промежности. Бедро левой ноги лежит на полу. Правую ногу завести назад, согнув в колене, пятка правой ноги располагается с внешней стороны бедра. Развести бёдра максимально широко, насколько позволяет гибкость тазобедренных суставов, но без болевых ощущений. Медленно опуститься туловищем на левое бедро так, чтобы центр грудной клетки был над коленом. Руки вытянуты перед собой и лежат на полу. Левая рука может сохранять небольшое усилие, чтобы корпус не съезжал с ноги на пол. Шея расслаблена. Глаза закрыты. Всё тело максимально расслаблено. Время выдержки по ощущениям, но более 3-х минут держать не целесообразно. Далее выйти из асаны, выпрямив корпус и вытянув ноги перед собой. После выполнения асаны влево, можно переходить к выполнению вправо без промежуточного расслабления.

","Эта асана на расслабление, поэтому, важно полностью снять телесное усилие, максимально расслабиться.

","Во время наклона корпуса вперёд, можно не до конца наклонять туловище, опуская его на бедро (если при большей амплитуде возникают неприятные ощущения), а остаться в промежуточном положении, фиксируя глубину наклона руками.

"
Сарвангасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A1%D0%B0%D1%80%D0%B2%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A1%D0%B0%D1%80%D0%B2%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на спину. Подложите сложенное одеяло так, чтобы его край был на уровне шеи, а все остальное одеяло было бы под областью плеч и лопаток. Одеяло образует некий перепад высот: голова находится на полу, шея на перепаде высот, а плечи и лопатки на возвышении. Толкаясь руками от пола, поднимите ноги вверх, далее следуя движению, вслед за ногами поднимите вверх корпус. Ноги при этом выходят вверх. Упираемся руками в туловище в область спины ниже лопаток. Ноги и туловище образуют одну вертикальную линию (или некое приближение к этому). Шея разгружена, вес тела на области лопаток и верхней части спины. Ноги выпрямлены не жёстко. Они должны быть несколько смягчены, расслаблены, носочки не оттягивать. Допускается немного подсгибать ноги в коленях. Глаза закрыть. Расслабить дыхание. Время выдержки по ощущениям. Далее выйти из асаны и расслабиться в Шавасане.","Очень важно отслеживать нагрузку в асане. Шейный отдел позвоночника не должен нести нагрузку. Для этого делается подкладка-уступ, чтобы разгрузить шею. Время выдержки на первых этапах освоения не должно превышать 30 секунд. По мере освоения время будет увеличиваться. Также на начальных этапах освоения можно использовать ремешок, завязанный на ширину плеч. В это образовавшееся кольцо надо сзади продеть руки, завести ремешок до уровня локтей, и в таком положении выполнять асану. Ремешок будет фиксировать локти, не давая возможности им разъезжаться в стороны. При таком варианте исполнения вам будет легче расслабиться.","Можно использовать ремешок (см. описание выше). Если строго вертикальное положение корпуса и ног вызывает перенапряжение, то можно немного заводить ноги вперёд, как бы слегка зависая ими над головой (но угол отклонения от вертикали совсем небольшой), тем самым можно снять лишнее напряжения с области плеч и рук."
